Instance name, X location, Y location, Voltage
FILLER_0_300_1705, 793.14, 826.88, 5.27027e-05
FILLER_0_298_1701, 793.14, 821.44, 0.000271438
FILLER_0_296_1701, 793.14, 816, 0.000134825
FILLER_0_294_1701, 793.14, 810.56, 0.000183089
FILLER_0_292_1701, 793.14, 805.12, 0.000224763
FILLER_0_290_1701, 793.14, 799.68, 0.000284013
FILLER_0_288_1701, 793.14, 794.24, 0.000328891
FILLER_0_286_1701, 793.14, 788.8, 0.00036118
FILLER_0_284_1701, 793.14, 783.36, 0.000644891
FILLER_0_282_1701, 793.14, 777.92, 0.000522545
FILLER_0_280_1701, 793.14, 772.48, 0.000519393
FILLER_0_278_1701, 793.14, 767.04, 0.00182265
_36401_, 793.14, 745.28, 0.00161392
_36402_, 793.14, 745.28, 0.00161392
_37315_, 793.14, 745.28, 0.00161392
_37316_, 793.14, 745.28, 0.00161392
_37317_, 793.14, 745.28, 0.00161392
FILLER_0_269_1700, 793.14, 745.28, 0.00161392
_36403_, 793.14, 739.84, 0.00202648
_36404_, 793.14, 739.84, 0.00202648
_36405_, 793.14, 739.84, 0.00202648
_36406_, 793.14, 739.84, 0.00202648
FILLER_0_268_1700, 793.14, 739.84, 0.00202648
_35570_, 793.14, 734.4, 0.00146565
_35571_, 793.14, 734.4, 0.00146565
_35572_, 793.14, 734.4, 0.00146565
_36429_, 793.14, 734.4, 0.00146565
_37348_, 793.14, 734.4, 0.00146565
_37349_, 793.14, 734.4, 0.00146565
FILLER_0_265_1700, 793.14, 734.4, 0.00146565
_36431_, 793.14, 728.96, 0.00122995
_36432_, 793.14, 728.96, 0.00122995
_37352_, 793.14, 728.96, 0.00122995
FILLER_0_264_1703, 793.14, 728.96, 0.00122995
_35574_, 793.14, 723.52, 0.00107613
_35599_, 793.14, 723.52, 0.00107613
_35600_, 793.14, 723.52, 0.00107613
_36430_, 793.14, 723.52, 0.00107613
FILLER_0_261_1710, 793.14, 723.52, 0.00107613
FILLER_0_262_1716, 793.14, 723.52, 0.00107613
FILLER_0_262_1724, 793.14, 723.52, 0.00107613
FILLER_0_263_1718, 793.14, 723.52, 0.00107613
_34833_, 793.14, 718.08, 0.000814344
_35601_, 793.14, 718.08, 0.000814344
FILLER_0_260_1704, 793.14, 718.08, 0.000814344
_41979_, 793.14, 712.64, 0.000487767
_41981_, 793.14, 712.64, 0.000487767
_43213_, 793.14, 712.64, 0.000487767
FILLER_0_257_1700, 793.14, 712.64, 0.000487767
_39511_, 793.14, 707.2, 0.000598403
_40727_, 793.14, 707.2, 0.000598403
_40728_, 793.14, 707.2, 0.000598403
_40729_, 793.14, 707.2, 0.000598403
_40730_, 793.14, 707.2, 0.000598403
_41978_, 793.14, 707.2, 0.000598403
_43211_, 793.14, 707.2, 0.000598403
_43212_, 793.14, 707.2, 0.000598403
FILLER_0_255_1706, 793.14, 707.2, 0.000598403
FILLER_0_256_1702, 793.14, 707.2, 0.000598403
_38376_, 793.14, 701.76, 0.000426005
_39508_, 793.14, 701.76, 0.000426005
_39509_, 793.14, 701.76, 0.000426005
_39510_, 793.14, 701.76, 0.000426005
_41975_, 793.14, 701.76, 0.000426005
_41976_, 793.14, 701.76, 0.000426005
_41977_, 793.14, 701.76, 0.000426005
FILLER_0_253_1701, 793.14, 701.76, 0.000426005
FILLER_0_254_1702, 793.14, 701.76, 0.000426005
_33536_, 793.14, 696.32, 0.000594917
_38373_, 793.14, 696.32, 0.000594917
