net,length_um
net724,1.09668mm
net716,1.08731mm
net1044,1.066295mm
net1118,999.45µm
net1078,983.13µm
net730,978.78µm
_04689_,975.47µm
net722,966.93µm
net168,965.67µm
net172,948.61µm
net84,930.97µm
net710,914.56µm
net709,906.83µm
net112,895.42µm
_22249_,887.31µm
_04283_,863.72µm
net355,858.3µm
net560,845.08µm
net158,843.205µm
_04694_,842.5µm
clknet_0_clk,834.82µm
net77,834.1µm
net89,830.545µm
net1101,826.68µm
net44,826.6µm
_03827_,820.57µm
net733,818.84µm
_03845_,805.65µm
net719,802.03µm
_32334_,793.04µm
net714,788.65µm
net599,786.67µm
net960,784.2µm
net736,774.1µm
net554,770.14µm
net142,760.97µm
net257,760.05µm
_15140_,758.27µm
net43,758.07µm
net74,755.57µm
highshift.data\[12\],750.93µm
lowshift.data\[0\],742.83µm
net50,739.29µm
_20116_,735.41µm
highshift.data\[11\],729.75µm
net54,728.74µm
net512,727.7µm
net272,726.045µm
_00701_,725.31µm
net276,723.15µm
_32268_,721.14µm
_32422_,720.65µm
_16898_,720.56µm
_20645_,717.79µm
_04601_,716.53µm
lowshift.data\[27\],713.435µm
net658,712.28µm
net164,710.88µm
net593,710.175µm
clk,710.13µm
net630,709.32µm
net727,705.27µm
_14862_,704.49µm
_17165_,703.42µm
net52,695.92µm
_22250_,693.57µm
_24246_,690.78µm
net248,689.73µm
net1077,682.805µm
net40,679.22µm
net1018,675.66µm
_05199_,673.74µm
_02541_,671.27µm
net39,670.06µm
_03809_,669.4µm
net726,669.07µm
_32543_,668.6µm
net1019,664.26µm
_09459_,662.54µm
net38,662.5µm
_04751_,659.83µm
net94,659.32µm
net169,654.74µm
net244,652.97µm
_03850_,652.9µm
lowshift.data\[24\],650.745µm
net493,650.25µm
lowshift.data\[31\],649.21µm
lowshift.data\[25\],645.78µm
_22827_,644.8µm
_05053_,642.05µm
net565,641.83µm
lowshift.data\[29\],639.98µm
net81,638.39µm
_00843_,638.17µm
lowshift.data\[28\],637.48µm
net152,636.91µm
net681,632.81µm
net114,630.52µm
lowshift.data\[14\],628.99µm
_01722_,628.91µm
net392,628.45µm
net292,622.96µm
net96,619.84µm
net478,619.78µm
net294,617.4µm
_04326_,615.72µm
net258,615.42µm
_04600_,606.33µm
lowshift.data\[19\],605.36µm
_09502_,605.06µm
net487,603.13µm
net739,602.57µm
_04824_,601.95µm
lowshift.data\[23\],601.92µm
net88,597.26µm
net381,597.05µm
lowshift.data\[22\],596.03µm
net160,594.91µm
net115,593.8µm
net261,593.38µm
net1024,592.715µm
net256,591.62µm
net1020,588.475µm
lowshift.data\[7\],587.77µm
net352,586.695µm
net252,586.68µm
_05018_,586.615µm
_05040_,584.345µm
net241,583.74µm
lowshift.data\[48\],583.64µm
net437,582.72µm
_05027_,576.68µm
net1047,576.34µm
net181,575.27µm
_09500_,573.93µm
_05020_,572.99µm
net263,571.89µm
net385,571.67µm
net377,570.99µm
clknet_4_4__leaf_clk,570.76µm
_09458_,570.18µm
net296,566.19µm
net254,565.765µm
lowshift.data\[20\],563.21µm
lowshift.data\[64\],563.05µm
net73,562.14µm
net299,561.77µm
net797,560.77µm
_17415_,559.44µm
net588,559µm
net697,558.16µm
net462,558.14µm
_24914_,557.74µm
_14901_,556.42µm
_04215_,555.47µm
clknet_2_1_0_clk,553.74µm
_00602_,553.62µm
net388,553.13µm
net1021,552µm
clknet_4_5__leaf_clk,550.17µm
_00690_,549.8µm
net1037,547.86µm
net1022,545.68µm
net49,543.38µm
net53,542.93µm
