Instance name, X location, Y location, Voltage
FILLER_0_300_1705, 789.84, 829.6, 1.59999
FILLER_0_298_1701, 789.84, 824.16, 1.59999
FILLER_0_296_1697, 789.84, 818.72, 1.59998
FILLER_0_296_1705, 789.84, 818.72, 1.59998
_42067_, 789.84, 807.84, 1.59954
_42246_, 789.84, 807.84, 1.59954
_42250_, 789.84, 807.84, 1.59954
ANTENNA__42246__B, 789.84, 807.84, 1.59954
ANTENNA__42244__A_N, 789.84, 807.84, 1.59954
ANTENNA__42067__B, 789.84, 807.84, 1.59954
FILLER_0_292_1694, 789.84, 807.84, 1.59954
_40811_, 789.84, 802.4, 1.59937
_40813_, 789.84, 802.4, 1.59937
_42068_, 789.84, 802.4, 1.59937
_42069_, 789.84, 802.4, 1.59937
_42251_, 789.84, 802.4, 1.59937
_43816_, 789.84, 802.4, 1.59937
ANTENNA__40811__B, 789.84, 802.4, 1.59937
ANTENNA__42068__B, 789.84, 802.4, 1.59937
FILLER_0_290_1695, 789.84, 802.4, 1.59937
FILLER_0_290_1703, 789.84, 802.4, 1.59937
FILLER_0_291_1699, 789.84, 802.4, 1.59937
FILLER_0_291_1708, 789.84, 802.4, 1.59937
_40812_, 789.84, 796.96, 1.59941
_43817_, 789.84, 796.96, 1.59941
_43818_, 789.84, 796.96, 1.59941
ANTENNA__40812__B, 789.84, 796.96, 1.59941
FILLER_0_288_1705, 789.84, 796.96, 1.59941
_40795_, 789.84, 791.52, 1.5992
_43815_, 789.84, 791.52, 1.5992
ANTENNA__43815__A, 789.84, 791.52, 1.5992
ANTENNA__40795__A, 789.84, 791.52, 1.5992
FILLER_0_286_1705, 789.84, 791.52, 1.5992
FILLER_0_288_1709, 789.84, 791.52, 1.5992
FILLER_0_288_1717, 789.84, 791.52, 1.5992
_42054_, 789.84, 786.08, 1.59921
_42056_, 789.84, 786.08, 1.59921
_42254_, 789.84, 786.08, 1.59921
_43821_, 789.84, 786.08, 1.59921
ANTENNA__42253__A, 789.84, 786.08, 1.59921
ANTENNA__42063__A, 789.84, 786.08, 1.59921
FILLER_0_286_1709, 789.84, 786.08, 1.59921
_40796_, 789.84, 780.64, 1.59902
_40797_, 789.84, 780.64, 1.59902
_42057_, 789.84, 780.64, 1.59902
_43820_, 789.84, 780.64, 1.59902
_43822_, 789.84, 780.64, 1.59902
_43823_, 789.84, 780.64, 1.59902
FILLER_0_282_1700, 789.84, 780.64, 1.59902
FILLER_0_283_1703, 789.84, 780.64, 1.59902
_39584_, 789.84, 775.2, 1.59888
_43813_, 789.84, 775.2, 1.59888
FILLER_0_281_1713, 789.84, 775.2, 1.59888
FILLER_0_282_1709, 789.84, 775.2, 1.59888
_39586_, 789.84, 769.76, 1.59895
_40801_, 789.84, 769.76, 1.59895
_40802_, 789.84, 769.76, 1.59895
_42049_, 789.84, 769.76, 1.59895
_42050_, 789.84, 769.76, 1.59895
_42051_, 789.84, 769.76, 1.59895
ANTENNA__42049__A, 789.84, 769.76, 1.59895
ANTENNA__40801__B, 789.84, 769.76, 1.59895
ANTENNA__39584__B, 789.84, 769.76, 1.59895
ANTENNA__39585__B, 789.84, 769.76, 1.59895
FILLER_0_279_1701, 789.84, 769.76, 1.59895
FILLER_0_279_1709, 789.84, 769.76, 1.59895
_39585_, 789.84, 764.32, 1.59833
_40790_, 789.84, 764.32, 1.59833
_40798_, 789.84, 764.32, 1.59833
_40799_, 789.84, 764.32, 1.59833
_40800_, 789.84, 764.32, 1.59833
_43807_, 789.84, 764.32, 1.59833
ANTENNA__40799__A, 789.84, 764.32, 1.59833
ANTENNA__43807__B1, 789.84, 764.32, 1.59833
ANTENNA__40790__A, 789.84, 764.32, 1.59833
FILLER_0_276_1692, 789.84, 764.32, 1.59833
FILLER_0_277_1700, 789.84, 764.32, 1.59833
FILLER_0_278_1717, 789.84, 764.32, 1.59833
_40141_, 789.84, 758.88, 1.59893
_40142_, 789.84, 758.88, 1.59893
_40791_, 789.84, 758.88, 1.59893
ANTENNA__40798__A1, 789.84, 758.88, 1.59893
ANTENNA__40791__A, 789.84, 758.88, 1.59893
FILLER_0_274_1699, 789.84, 758.88, 1.59893
