Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,16710
design__instance__area,96030.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,35
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,242
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.00613443274050951
power__switching__total,0.010179230943322182
power__leakage__total,8.191278055846851E-8
power__total,0.016313746571540833
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.0
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.0
timing__hold__ws__corner:nom_tt_025C_1v80,4.58966
timing__setup__ws__corner:nom_tt_025C_1v80,8.688582
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,inf
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,inf
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count,825
design__max_fanout_violation__count,242
design__max_cap_violation__count,1
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,4.496798
timing__setup__ws,-2.448184
timing__hold__tns,0.0
timing__setup__tns,-7.055084
timing__hold__wns,0.0
timing__setup__wns,-2.448184
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 800.0 400.0
design__core__bbox,100.28 100.64 699.66 299.2
design__io,263
design__die__area,320000
design__core__area,119013
design__instance__count__stdcell,16710
design__instance__area__stdcell,96030.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.806895
design__instance__utilization__stdcell,0.806895
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,338083
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,5
antenna__violating__pins,5
route__antenna_violation__count,5
route__net,12014
route__net__special,2
route__drc_errors__iter:1,11400
route__wirelength__iter:1,371745
route__drc_errors__iter:2,7577
route__wirelength__iter:2,369014
route__drc_errors__iter:3,7620
route__wirelength__iter:3,368970
route__drc_errors__iter:4,2015
route__wirelength__iter:4,368561
route__drc_errors__iter:5,473
route__wirelength__iter:5,368496
route__drc_errors__iter:6,192
route__wirelength__iter:6,368517
route__drc_errors__iter:7,175
route__wirelength__iter:7,368519
route__drc_errors__iter:8,163
route__wirelength__iter:8,368509
route__drc_errors__iter:9,132
route__wirelength__iter:9,368538
route__drc_errors__iter:10,114
route__wirelength__iter:10,368548
route__drc_errors__iter:11,45
route__wirelength__iter:11,368605
route__drc_errors__iter:12,26
route__wirelength__iter:12,368645
route__drc_errors__iter:13,1
route__wirelength__iter:13,368629
route__drc_errors__iter:14,0
route__wirelength__iter:14,368629
route__drc_errors,0
route__wirelength,368629
route__vias,88394
route__vias__singlecut,88394
route__vias__multicut,0
design__disconnected_pin__count,23
design__critical_disconnected_pin__count,0
route__wirelength__max,826.01
timing__unannotated_net__count__corner:nom_tt_025C_1v80,23
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,682
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,242
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.0
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.0
timing__hold__ws__corner:nom_ss_100C_1v60,4.51289
timing__setup__ws__corner:nom_ss_100C_1v60,-2.028425
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-5.009621
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.028425
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,inf
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,inf
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,23
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,242
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.0
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.0
timing__hold__ws__corner:nom_ff_n40C_1v95,4.615313
timing__setup__ws__corner:nom_ff_n40C_1v95,12.944812
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,inf
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,inf
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,23
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,5
design__max_fanout_violation__count__corner:min_tt_025C_1v80,242
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.0
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.0
timing__hold__ws__corner:min_tt_025C_1v80,4.603487
timing__setup__ws__corner:min_tt_025C_1v80,8.984088
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0.0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,inf
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
