net,length_um
net33,998.2µm
net562,857.28µm
net543,842.59µm
net118,815.43µm
net135,802.52µm
net44,770.4µm
net12,767.71µm
net109,758.71µm
net126,756.48µm
net141,752.58µm
net99,739.52µm
net138,711.34µm
net559,693.58µm
net202,681.32µm
net198,680.16µm
net551,678.7µm
net221,676.86µm
net367,675.43µm
net203,668.35µm
net204,665.94µm
net1,658.16µm
net88,643.47µm
net40,633.565µm
net293,632.05µm
net359,631.07µm
net541,625.78µm
_02916_,614.935µm
net200,607.78µm
net69,602.505µm
net67,599.68µm
net68,596.7µm
net253,591.71µm
clk,585.89µm
net394,576.5µm
net143,573.06µm
net41,572.81µm
net353,571.82µm
net217,567.28µm
net210,566.59µm
net120,565.15µm
net548,565.025µm
net356,563.67µm
_10774_,563.64µm
net208,563.14µm
net70,554.28µm
net273,552.65µm
net43,547.405µm
net209,539.37µm
net201,535.4µm
net362,534.52µm
net431,531.82µm
net266,528.05µm
net145,526.82µm
net466,521.74µm
net211,516.02µm
net346,516µm
net347,515.52µm
net348,515.22µm
net45,515.16µm
net150,514.05µm
net447,513.72µm
_03231_,509.715µm
net77,504.88µm
net205,494.54µm
net228,491.47µm
net226,490.2µm
net267,486.655µm
net495,486.485µm
net351,485.92µm
net207,479.34µm
net154,478.99µm
net227,475.27µm
net371,474.475µm
net220,474.345µm
net199,472.78µm
net342,472.42µm
net252,472.17µm
net500,467.285µm
net567,465.2µm
net535,464.08µm
net360,460.43µm
net46,458.35µm
net147,458.195µm
net85,450.54µm
net180,449.53µm
net428,440.62µm
net197,436.58µm
net142,433.33µm
net341,433.04µm
net225,431.65µm
_01143_,430.48µm
net153,430.04µm
_04871_,429.66µm
net470,424.2µm
net218,418.145µm
net86,415.9µm
_01146_,414.16µm
net222,411.44µm
_01274_,408.15µm
net148,406.52µm
_04864_,404.46µm
net503,401.27µm
net310,400.31µm
net272,400.25µm
_05033_,397.86µm
_02993_,397.08µm
net146,392.55µm
net196,392.06µm
net522,391.65µm
_00390_,389.73µm
_01056_,389.56µm
net313,389.42µm
net185,389.02µm
_00909_,388.44µm
net539,386.22µm
net507,383.6µm
net271,382.64µm
net336,380.695µm
net175,379.02µm
net315,377.475µm
net195,376.84µm
net206,376.46µm
net37,373.48µm
_05271_,370.34µm
net261,369.96µm
net87,369.92µm
net224,367.76µm
_03323_,367.39µm
net513,366.84µm
net303,365.88µm
net81,365.54µm
net574,363.095µm
net291,360.83µm
net164,360.7µm
net97,357.5µm
net23,357.06µm
net334,355.95µm
net331,354.24µm
net506,349.715µm
_11139_,349.32µm
_09580_,348.395µm
net276,348.195µm
net34,348.18µm
net516,347.51µm
net509,344.64µm
net229,344.04µm
net79,344.03µm
_10782_,343.57µm
_02971_,342.66µm
_01401_,339.33µm
net110,338.94µm
net149,338.22µm
_02994_,337.5µm
net137,337.4µm
_00745_,335.43µm
_11141_,334.1µm
net219,333.58µm
_03290_,332.99µm
net314,332.71µm
net520,329.89µm
_00016_,328.52µm
net223,326.6µm
net158,325.255µm
net385,324.69µm
net136,324.56µm
_01077_,324.22µm
_01333_,323.66µm
_02839_,320.66µm
_00743_,320.58µm
_08206_,315.6µm
_03230_,315.04µm
net55,314.84µm
net424,314.475µm
_09578_,313.66µm
net230,313.44µm
net459,313.15µm
net38,312.68µm
_00825_,311.72µm
_09957_,311.4µm
net151,310.8µm
_08207_,310.05µm
net269,309.4µm
_02984_,306.34µm
_06951_,304µm
_02965_,303.18µm
net502,301.49µm
net494,301.26µm
_02982_,300.68µm
net89,300.48µm
net504,300µm
net52,299.08µm
_02949_,298.76µm
net36,298.23µm
net35,297.86µm
net84,297.79µm
net396,297.49µm
net316,296.745µm
_00815_,294.88µm
_01794_,292.4µm
net57,289.765µm
_02950_,288.16µm
net62,288.075µm
net560,286.61µm
net358,286.48µm
_02932_,286.44µm
_02957_,283.71µm
_01730_,282.655µm
net563,281.12µm
_02946_,280.54µm
net427,280.185µm
_02635_,279.36µm
_09958_,278.62µm
_03096_,277.575µm
net263,277.01µm
net152,275.25µm
net90,273.09µm
net237,271.3µm
_06937_,271.23µm
_06953_,270.01µm
_04953_,269.855µm
net157,269.02µm
net329,268.53µm
net312,267.965µm
_02933_,267.64µm
net292,266.82µm
net246,266.81µm
_11122_,266.695µm
