Instance name, X location, Y location, Voltage
input82, 580.7, 699.04, 2.87166e-05
input83, 580.7, 699.04, 2.87166e-05
ANTENNA_input82_A, 580.7, 699.04, 2.87166e-05
ANTENNA_input83_A, 580.7, 699.04, 2.87166e-05
_16857_, 580.7, 693.6, 5.18048e-05
_16858_, 580.7, 693.6, 5.18048e-05
_18008_, 580.7, 693.6, 5.18048e-05
input84, 580.7, 693.6, 5.18048e-05
input85, 580.7, 693.6, 5.18048e-05
ANTENNA_input84_A, 580.7, 693.6, 5.18048e-05
ANTENNA_input85_A, 580.7, 693.6, 5.18048e-05
ANTENNA__12923__A, 580.7, 693.6, 5.18048e-05
ANTENNA__18009__A, 580.7, 693.6, 5.18048e-05
ANTENNA__16857__A, 580.7, 693.6, 5.18048e-05
ANTENNA__12923__B, 580.7, 693.6, 5.18048e-05
ANTENNA__12922__B, 580.7, 693.6, 5.18048e-05
ANTENNA__16858__B, 580.7, 693.6, 5.18048e-05
ANTENNA__16857__B, 580.7, 693.6, 5.18048e-05
FILLER_0_218_1037, 580.7, 693.6, 5.18048e-05
FILLER_0_218_1048, 580.7, 693.6, 5.18048e-05
_16859_, 580.7, 688.16, 3.72387e-05
_18006_, 580.7, 688.16, 3.72387e-05
_18007_, 580.7, 688.16, 3.72387e-05
_18009_, 580.7, 688.16, 3.72387e-05
_18010_, 580.7, 688.16, 3.72387e-05
ANTENNA__12922__A, 580.7, 688.16, 3.72387e-05
ANTENNA__16858__A, 580.7, 688.16, 3.72387e-05
ANTENNA__18007__A, 580.7, 688.16, 3.72387e-05
ANTENNA__18007__B, 580.7, 688.16, 3.72387e-05
FILLER_0_216_1037, 580.7, 688.16, 3.72387e-05
FILLER_0_216_1050, 580.7, 688.16, 3.72387e-05
_11232_, 580.7, 682.72, 4.62746e-05
_11233_, 580.7, 682.72, 4.62746e-05
_12793_, 580.7, 682.72, 4.62746e-05
_12925_, 580.7, 682.72, 4.62746e-05
_16860_, 580.7, 682.72, 4.62746e-05
_18011_, 580.7, 682.72, 4.62746e-05
_18012_, 580.7, 682.72, 4.62746e-05
_18013_, 580.7, 682.72, 4.62746e-05
ANTENNA__12794__A, 580.7, 682.72, 4.62746e-05
ANTENNA__12794__B, 580.7, 682.72, 4.62746e-05
FILLER_0_214_1048, 580.7, 682.72, 4.62746e-05
FILLER_0_214_1058, 580.7, 682.72, 4.62746e-05
FILLER_0_215_1045, 580.7, 682.72, 4.62746e-05
_12795_, 580.7, 677.28, 4.09195e-05
_16862_, 580.7, 677.28, 4.09195e-05
_19259_, 580.7, 677.28, 4.09195e-05
ANTENNA__12793__A, 580.7, 677.28, 4.09195e-05
ANTENNA__11232__A, 580.7, 677.28, 4.09195e-05
ANTENNA__12793__B, 580.7, 677.28, 4.09195e-05
FILLER_0_211_1037, 580.7, 677.28, 4.09195e-05
FILLER_0_212_1046, 580.7, 677.28, 4.09195e-05
_12928_, 580.7, 671.84, 7.05512e-05
_16863_, 580.7, 671.84, 7.05512e-05
_16864_, 580.7, 671.84, 7.05512e-05
_18014_, 580.7, 671.84, 7.05512e-05
_18015_, 580.7, 671.84, 7.05512e-05
FILLER_0_209_1034, 580.7, 671.84, 7.05512e-05
FILLER_0_210_1033, 580.7, 671.84, 7.05512e-05
FILLER_0_210_1037, 580.7, 671.84, 7.05512e-05
FILLER_0_211_1050, 580.7, 671.84, 7.05512e-05
_12926_, 580.7, 666.4, 6.29246e-05
_12927_, 580.7, 666.4, 6.29246e-05
FILLER_0_209_1055, 580.7, 666.4, 6.29246e-05
_11230_, 580.7, 660.96, 9.95611e-05
_12531_, 580.7, 660.96, 9.95611e-05
_12532_, 580.7, 660.96, 9.95611e-05
_12796_, 580.7, 660.96, 9.95611e-05
_12929_, 580.7, 660.96, 9.95611e-05
_12930_, 580.7, 660.96, 9.95611e-05
_16865_, 580.7, 660.96, 9.95611e-05
_16866_, 580.7, 660.96, 9.95611e-05
ANTENNA__12532__A, 580.7, 660.96, 9.95611e-05
ANTENNA__12531__A, 580.7, 660.96, 9.95611e-05
ANTENNA__11230__A, 580.7, 660.96, 9.95611e-05
ANTENNA__12532__B, 580.7, 660.96, 9.95611e-05
FILLER_0_205_1033, 580.7, 660.96, 9.95611e-05
FILLER_0_207_1045, 580.7, 660.96, 9.95611e-05
FILLER_0_207_1058, 580.7, 660.96, 9.95611e-05
_12533_, 580.7, 655.52, 7.257e-05
_16867_, 580.7, 655.52, 7.257e-05
_18016_, 580.7, 655.52, 7.257e-05
FILLER_0_203_1044, 580.7, 655.52, 7.257e-05
FILLER_0_204_1037, 580.7, 655.52, 7.257e-05
_12797_, 580.7, 650.08, 0.000125005
_12931_, 580.7, 650.08, 0.000125005
ANTENNA__21695__B, 580.7, 650.08, 0.000125005
FILLER_0_202_1037, 580.7, 650.08, 0.000125005
FILLER_0_202_1050, 580.7, 650.08, 0.000125005
FILLER_0_203_1058, 580.7, 650.08, 0.000125005
_11226_, 580.7, 644.64, 8.82435e-05
_12488_, 580.7, 644.64, 8.82435e-05
_12489_, 580.7, 644.64, 8.82435e-05
_12798_, 580.7, 644.64, 8.82435e-05
_12799_, 580.7, 644.64, 8.82435e-05
ANTENNA__21621__B, 580.7, 644.64, 8.82435e-05
ANTENNA__12489__A, 580.7, 644.64, 8.82435e-05
ANTENNA__11226__A, 580.7, 644.64, 8.82435e-05
ANTENNA__12489__B, 580.7, 644.64, 8.82435e-05
FILLER_0_200_1037, 580.7, 644.64, 8.82435e-05
FILLER_0_200_1045, 580.7, 644.64, 8.82435e-05
