Instance name, X location, Y location, Voltage
input81, 577.4, 696.32, 1.79993
input82, 577.4, 696.32, 1.79993
input83, 577.4, 696.32, 1.79993
input84, 577.4, 696.32, 1.79993
ANTENNA_input81_A, 577.4, 696.32, 1.79993
ANTENNA_input82_A, 577.4, 696.32, 1.79993
ANTENNA_input83_A, 577.4, 696.32, 1.79993
ANTENNA_input84_A, 577.4, 696.32, 1.79993
ANTENNA__12923__B, 577.4, 696.32, 1.79993
FILLER_0_218_1026, 577.4, 696.32, 1.79993
FILLER_0_218_1037, 577.4, 696.32, 1.79993
_12922_, 577.4, 690.88, 1.79997
_12923_, 577.4, 690.88, 1.79997
_12924_, 577.4, 690.88, 1.79997
_16857_, 577.4, 690.88, 1.79997
_16858_, 577.4, 690.88, 1.79997
_18009_, 577.4, 690.88, 1.79997
ANTENNA__12923__A, 577.4, 690.88, 1.79997
ANTENNA__12922__A, 577.4, 690.88, 1.79997
ANTENNA__16858__A, 577.4, 690.88, 1.79997
ANTENNA__16857__A, 577.4, 690.88, 1.79997
ANTENNA__12922__B, 577.4, 690.88, 1.79997
ANTENNA__16858__B, 577.4, 690.88, 1.79997
ANTENNA__16857__B, 577.4, 690.88, 1.79997
FILLER_0_216_1027, 577.4, 690.88, 1.79997
FILLER_0_216_1037, 577.4, 690.88, 1.79997
FILLER_0_218_1048, 577.4, 690.88, 1.79997
_11233_, 577.4, 685.44, 1.79996
_12794_, 577.4, 685.44, 1.79996
_16859_, 577.4, 685.44, 1.79996
_16861_, 577.4, 685.44, 1.79996
_18010_, 577.4, 685.44, 1.79996
ANTENNA__12794__A, 577.4, 685.44, 1.79996
FILLER_0_215_1045, 577.4, 685.44, 1.79996
FILLER_0_216_1050, 577.4, 685.44, 1.79996
_11232_, 577.4, 680, 1.79995
_12793_, 577.4, 680, 1.79995
_12925_, 577.4, 680, 1.79995
_16860_, 577.4, 680, 1.79995
ANTENNA__12793__A, 577.4, 680, 1.79995
ANTENNA__11232__A, 577.4, 680, 1.79995
ANTENNA__12794__B, 577.4, 680, 1.79995
ANTENNA__12793__B, 577.4, 680, 1.79995
FILLER_0_212_1029, 577.4, 680, 1.79995
FILLER_0_213_1029, 577.4, 680, 1.79995
FILLER_0_214_1048, 577.4, 680, 1.79995
_12795_, 577.4, 674.56, 1.79994
_16862_, 577.4, 674.56, 1.79994
_16863_, 577.4, 674.56, 1.79994
FILLER_0_210_1033, 577.4, 674.56, 1.79994
FILLER_0_210_1037, 577.4, 674.56, 1.79994
FILLER_0_211_1037, 577.4, 674.56, 1.79994
FILLER_0_211_1050, 577.4, 674.56, 1.79994
FILLER_0_212_1046, 577.4, 674.56, 1.79994
_12926_, 577.4, 669.12, 1.79993
_12928_, 577.4, 669.12, 1.79993
_18015_, 577.4, 669.12, 1.79993
FILLER_0_209_1034, 577.4, 669.12, 1.79993
_12532_, 577.4, 663.68, 1.79992
_12929_, 577.4, 663.68, 1.79992
_16865_, 577.4, 663.68, 1.79992
FILLER_0_206_1027, 577.4, 663.68, 1.79992
FILLER_0_207_1045, 577.4, 663.68, 1.79992
_11230_, 577.4, 658.24, 1.79991
_12531_, 577.4, 658.24, 1.79991
_12796_, 577.4, 658.24, 1.79991
_12930_, 577.4, 658.24, 1.79991
_18016_, 577.4, 658.24, 1.79991
ANTENNA__12532__A, 577.4, 658.24, 1.79991
ANTENNA__12532__B, 577.4, 658.24, 1.79991
FILLER_0_204_1029, 577.4, 658.24, 1.79991
FILLER_0_204_1037, 577.4, 658.24, 1.79991
FILLER_0_205_1033, 577.4, 658.24, 1.79991
_12533_, 577.4, 652.8, 1.7999
_21695_, 577.4, 652.8, 1.7999
ANTENNA__21695__B, 577.4, 652.8, 1.7999
FILLER_0_202_1037, 577.4, 652.8, 1.7999
FILLER_0_203_1044, 577.4, 652.8, 1.7999
_12797_, 577.4, 647.36, 1.79987
_12799_, 577.4, 647.36, 1.79987
_21621_, 577.4, 647.36, 1.79987
ANTENNA__21621__B, 577.4, 647.36, 1.79987
FILLER_0_200_1037, 577.4, 647.36, 1.79987
FILLER_0_202_1050, 577.4, 647.36, 1.79987
_11226_, 577.4, 641.92, 1.79988
_12488_, 577.4, 641.92, 1.79988
_12489_, 577.4, 641.92, 1.79988
ANTENNA__12489__A, 577.4, 641.92, 1.79988
ANTENNA__11226__A, 577.4, 641.92, 1.79988
ANTENNA__12489__B, 577.4, 641.92, 1.79988
FILLER_0_198_1027, 577.4, 641.92, 1.79988
FILLER_0_198_1037, 577.4, 641.92, 1.79988
FILLER_0_199_1028, 577.4, 641.92, 1.79988
FILLER_0_200_1045, 577.4, 641.92, 1.79988
_12490_, 577.4, 636.48, 1.7999
_12534_, 577.4, 636.48, 1.7999
_12801_, 577.4, 636.48, 1.7999
_21691_, 577.4, 636.48, 1.7999
FILLER_0_198_1049, 577.4, 636.48, 1.7999
_12535_, 577.4, 631.04, 1.7999
ANTENNA__12535__A1, 577.4, 631.04, 1.7999
FILLER_0_194_1031, 577.4, 631.04, 1.7999
FILLER_0_194_1037, 577.4, 631.04, 1.7999
_12536_, 577.4, 625.6, 1.79993
_12537_, 577.4, 625.6, 1.79993
_12491_, 577.4, 620.16, 1.79991
_12538_, 577.4, 620.16, 1.79991
ANTENNA__12493__A, 577.4, 620.16, 1.79991
ANTENNA__12491__A, 577.4, 620.16, 1.79991
ANTENNA__12493__B, 577.4, 620.16, 1.79991
_11222_, 577.4, 614.72, 1.79991
_12539_, 577.4, 614.72, 1.79991
_12540_, 577.4, 614.72, 1.79991
_18999_, 577.4, 614.72, 1.79991
_20658_, 577.4, 614.72, 1.79991
ANTENNA__18999__A, 577.4, 614.72, 1.79991
ANTENNA__20658__A, 577.4, 614.72, 1.79991
ANTENNA__18999__B, 577.4, 614.72, 1.79991
ANTENNA__20658__B, 577.4, 614.72, 1.79991
FILLER_0_188_1037, 577.4, 614.72, 1.79991
FILLER_0_189_1047, 577.4, 614.72, 1.79991
_12541_, 577.4, 609.28, 1.7999
_19000_, 577.4, 609.28, 1.7999
_19038_, 577.4, 609.28, 1.7999
_21633_, 577.4, 609.28, 1.7999
ANTENNA__19000__A, 577.4, 609.28, 1.7999
ANTENNA__19000__B, 577.4, 609.28, 1.7999
ANTENNA__12500__B1, 577.4, 609.28, 1.7999
ANTENNA__12494__A, 577.4, 609.28, 1.7999
FILLER_0_187_1045, 577.4, 609.28, 1.7999
_12495_, 577.4, 603.84, 1.79992
_12496_, 577.4, 603.84, 1.79992
_17775_, 577.4, 603.84, 1.79992
_17806_, 577.4, 603.84, 1.79992
ANTENNA__17775__A, 577.4, 603.84, 1.79992
ANTENNA__17775__B, 577.4, 603.84, 1.79992
FILLER_0_184_1033, 577.4, 603.84, 1.79992
FILLER_0_185_1027, 577.4, 603.84, 1.79992
FILLER_0_185_1035, 577.4, 603.84, 1.79992
_12497_, 577.4, 598.4, 1.79992
_16677_, 577.4, 598.4, 1.79992
_17776_, 577.4, 598.4, 1.79992
ANTENNA__17776__A, 577.4, 598.4, 1.79992
ANTENNA__17776__B, 577.4, 598.4, 1.79992
FILLER_0_182_1025, 577.4, 598.4, 1.79992
FILLER_0_182_1033, 577.4, 598.4, 1.79992
FILLER_0_183_1034, 577.4, 598.4, 1.79992
_12543_, 577.4, 592.96, 1.7999
_16676_, 577.4, 592.96, 1.7999
FILLER_0_180_1030, 577.4, 592.96, 1.7999
FILLER_0_181_1036, 577.4, 592.96, 1.7999
FILLER_0_182_1050, 577.4, 592.96, 1.7999
_11815_, 577.4, 587.52, 1.79989
_12498_, 577.4, 587.52, 1.79989
_12508_, 577.4, 587.52, 1.79989
ANTENNA__12508__A1, 577.4, 587.52, 1.79989
FILLER_0_178_1024, 577.4, 587.52, 1.79989
FILLER_0_178_1033, 577.4, 587.52, 1.79989
FILLER_0_179_1033, 577.4, 587.52, 1.79989
_12499_, 577.4, 582.08, 1.79986
_21119_, 577.4, 582.08, 1.79986
_21121_, 577.4, 582.08, 1.79986
ANTENNA__21119__B1, 577.4, 582.08, 1.79986
FILLER_0_176_1032, 577.4, 582.08, 1.79986
FILLER_0_177_1030, 577.4, 582.08, 1.79986
_21061_, 577.4, 576.64, 1.79978
_21120_, 577.4, 576.64, 1.79978
ANTENNA__21120__C, 577.4, 576.64, 1.79978
ANTENNA__12515__A, 577.4, 576.64, 1.79978
FILLER_0_174_1032, 577.4, 576.64, 1.79978
FILLER_0_174_1037, 577.4, 576.64, 1.79978
FILLER_0_175_1027, 577.4, 576.64, 1.79978
_12510_, 577.4, 571.2, 1.79979
_21750_, 577.4, 571.2, 1.79979
ANTENNA__11219__A, 577.4, 571.2, 1.79979
FILLER_0_172_1028, 577.4, 571.2, 1.79979
_19244_, 577.4, 565.76, 1.79984
_19336_, 577.4, 565.76, 1.79984
FILLER_0_170_1032, 577.4, 565.76, 1.79984
FILLER_0_170_1037, 577.4, 565.76, 1.79984
_12522_, 577.4, 560.32, 1.79965
_19247_, 577.4, 560.32, 1.79965
_19333_, 577.4, 560.32, 1.79965
_21127_, 577.4, 560.32, 1.79965
ANTENNA__21127__A2, 577.4, 560.32, 1.79965
ANTENNA__19333__A, 577.4, 560.32, 1.79965
ANTENNA__12522__A, 577.4, 560.32, 1.79965
FILLER_0_169_1033, 577.4, 560.32, 1.79965
FILLER_0_169_1049, 577.4, 560.32, 1.79965
_12513_, 577.4, 554.88, 1.7999
_12523_, 577.4, 554.88, 1.7999
_12524_, 577.4, 554.88, 1.7999
ANTENNA__12525__A, 577.4, 554.88, 1.7999
FILLER_0_166_1031, 577.4, 554.88, 1.7999
_12514_, 577.4, 549.44, 1.79966
_18091_, 577.4, 549.44, 1.79966
_19232_, 577.4, 549.44, 1.79966
fanout303, 577.4, 549.44, 1.79966
ANTENNA__12526__B2, 577.4, 549.44, 1.79966
ANTENNA__12526__A1, 577.4, 549.44, 1.79966
ANTENNA__12514__A, 577.4, 549.44, 1.79966
FILLER_0_164_1025, 577.4, 549.44, 1.79966
FILLER_0_165_1031, 577.4, 549.44, 1.79966
_12527_, 577.4, 544, 1.79959
_13616_, 577.4, 544, 1.79959
_18092_, 577.4, 544, 1.79959
ANTENNA_fanout303_A, 577.4, 544, 1.79959
FILLER_0_162_1030, 577.4, 544, 1.79959
FILLER_0_164_1050, 577.4, 544, 1.79959
_21055_, 577.4, 538.56, 1.79976
FILLER_0_162_1049, 577.4, 538.56, 1.79976
_19325_, 577.4, 533.12, 1.79982
_21053_, 577.4, 533.12, 1.79982
_21054_, 577.4, 533.12, 1.79982
ANTENNA__13674__A, 577.4, 533.12, 1.79982
FILLER_0_158_1033, 577.4, 533.12, 1.79982
FILLER_0_158_1037, 577.4, 533.12, 1.79982
FILLER_0_159_1035, 577.4, 533.12, 1.79982
_19326_, 577.4, 527.68, 1.79987
FILLER_0_156_1026, 577.4, 527.68, 1.79987
FILLER_0_157_1051, 577.4, 527.68, 1.79987
_16929_, 577.4, 522.24, 1.79988
FILLER_0_154_1029, 577.4, 522.24, 1.79988
FILLER_0_154_1037, 577.4, 522.24, 1.79988
FILLER_0_155_1042, 577.4, 522.24, 1.79988
_12984_, 577.4, 516.8, 1.79983
_16930_, 577.4, 516.8, 1.79983
FILLER_0_152_1029, 577.4, 516.8, 1.79983
FILLER_0_153_1045, 577.4, 516.8, 1.79983
FILLER_0_154_1047, 577.4, 516.8, 1.79983
_16932_, 577.4, 511.36, 1.7998
_19499_, 577.4, 511.36, 1.7998
FILLER_0_150_1026, 577.4, 511.36, 1.7998
FILLER_0_151_1045, 577.4, 511.36, 1.7998
FILLER_0_152_1049, 577.4, 511.36, 1.7998
_12987_, 577.4, 505.92, 1.79983
_16892_, 577.4, 505.92, 1.79983
_16893_, 577.4, 505.92, 1.79983
_19500_, 577.4, 505.92, 1.79983
FILLER_0_148_1030, 577.4, 505.92, 1.79983
FILLER_0_148_1037, 577.4, 505.92, 1.79983
FILLER_0_149_1026, 577.4, 505.92, 1.79983
FILLER_0_149_1046, 577.4, 505.92, 1.79983
_16891_, 577.4, 500.48, 1.79978
_16894_, 577.4, 500.48, 1.79978
_18249_, 577.4, 500.48, 1.79978
FILLER_0_146_1037, 577.4, 500.48, 1.79978
FILLER_0_147_1040, 577.4, 500.48, 1.79978
FILLER_0_148_1047, 577.4, 500.48, 1.79978
_12975_, 577.4, 495.04, 1.79989
_17104_, 577.4, 495.04, 1.79989
_17105_, 577.4, 495.04, 1.79989
FILLER_0_145_1051, 577.4, 495.04, 1.79989
_12455_, 577.4, 489.6, 1.7999
_13461_, 577.4, 489.6, 1.7999
FILLER_0_142_1030, 577.4, 489.6, 1.7999
FILLER_0_142_1037, 577.4, 489.6, 1.7999
FILLER_0_143_1032, 577.4, 489.6, 1.7999
_12037_, 577.4, 484.16, 1.7998
_12445_, 577.4, 484.16, 1.7998
_12456_, 577.4, 484.16, 1.7998
_13462_, 577.4, 484.16, 1.7998
_13676_, 577.4, 484.16, 1.7998
_19502_, 577.4, 484.16, 1.7998
ANTENNA__13675__A, 577.4, 484.16, 1.7998
ANTENNA__13676__A1, 577.4, 484.16, 1.7998
FILLER_0_140_1027, 577.4, 484.16, 1.7998
FILLER_0_140_1037, 577.4, 484.16, 1.7998
_12457_, 577.4, 478.72, 1.79986
_12552_, 577.4, 478.72, 1.79986
FILLER_0_138_1029, 577.4, 478.72, 1.79986
_13682_, 577.4, 473.28, 1.7998
_18252_, 577.4, 473.28, 1.7998
