net,length_um
net493,1.11827mm
net955,1.09869mm
net748,1.09672mm
net971,1.08581mm
net898,1.08058mm
net965,1.06686mm
net1019,1.066775mm
net984,1.06212mm
net279,1.05867mm
net903,1.05827mm
net880,1.05485mm
net977,1.0455mm
net232,1.01203mm
net374,1.0105mm
net176,1.00968mm
net990,1.00488mm
net1011,993.46µm
net894,981.42µm
net951,951.68µm
net372,948.41µm
net321,944.275µm
net1036,940.07µm
net161,937.47µm
_08941_,927.25µm
net1001,926.15µm
net371,911.14µm
net1018,909.64µm
net1037,903.73µm
net959,895.355µm
net865,882.66µm
net460,860.14µm
net868,854.57µm
net276,835.53µm
net1035,825.04µm
net322,817.01µm
net369,815.26µm
clk,810.47µm
net945,806.31µm
net15,804.38µm
net231,798.89µm
net461,798.15µm
net946,797.23µm
net101,792.285µm
net107,789.995µm
net105,789.51µm
net111,787.5µm
net233,786.765µm
net916,786.23µm
_12611_,785.7µm
net871,784.91µm
_17953_,783.45µm
net106,779.875µm
net465,778.64µm
net879,775.71µm
net940,775.435µm
net912,772.04µm
net892,771.44µm
net196,770.39µm
net77,770.145µm
net474,763.92µm
net786,761.71µm
net1025,759.95µm
net110,752.565µm
net869,749.96µm
net907,749.84µm
net100,743.175µm
net112,740.475µm
net119,737.255µm
_12743_,730.285µm
_13304_,726.65µm
net893,725.52µm
net800,723.37µm
net2,722.06µm
_19869_,720.93µm
net48,720.89µm
net17,718.87µm
net170,718.78µm
net213,715.115µm
net825,714.95µm
_05691_,713.57µm
net1034,706.97µm
net113,706.11µm
net851,705.645µm
net690,703.95µm
net381,702.15µm
net830,700.83µm
net172,699.98µm
net649,699.54µm
net715,695.89µm
net711,693.995µm
net944,692.35µm
net553,689.81µm
net121,689.18µm
_12655_,687.485µm
_13150_,686.975µm
net646,685.82µm
net370,684.11µm
_12633_,683.345µm
net866,683µm
net902,680.34µm
_02181_,679.74µm
net804,679.67µm
net776,679.06µm
net368,677.02µm
net876,674.51µm
net643,673.39µm
net853,672.66µm
net863,672.35µm
net756,669.73µm
net677,668.32µm
net640,667.02µm
net45,663.09µm
net535,661.26µm
_04610_,658.87µm
net1039,655.42µm
net114,654.09µm
net6,654.02µm
net1028,652.51µm
_12754_,648.755µm
_16240_,647.43µm
net884,646.32µm
net545,644.98µm
net895,640.855µm
net469,640.8µm
net796,638.815µm
net857,638.2µm
net539,637.94µm
net183,637.66µm
net470,636.695µm
net883,635.595µm
net190,635.22µm
net3,634.585µm
net619,633.07µm
_12721_,632.49µm
net872,631.64µm
_14717_,628.99µm
net380,628.17µm
net452,627.12µm
_09297_,625.95µm
net794,625.08µm
net820,622.02µm
net549,619.88µm
net433,619.07µm
net185,616.7µm
net122,608.78µm
net285,607.55µm
net11,603.79µm
net927,601.76µm
net747,601.065µm
net875,600.655µm
net115,598.31µm
net344,597.07µm
net382,595.28µm
_01785_,594.54µm
net245,594.195µm
net4,592.77µm
_13425_,588.39µm
net389,588.35µm
net1022,587.44µm
net46,587.27µm
net634,587µm
_13326_,584.91µm
net32,583.83µm
net601,583.37µm
net668,582.145µm
net613,577.39µm
net7,576.2µm
net599,574.88µm
net1043,574.56µm
_16236_,572.595µm
_02170_,572.21µm
_12842_,569.38µm
net1004,568.71µm
_12666_,568.54µm
_14166_,568.47µm
net504,563.02µm
net665,562.48µm
net5,562.37µm
net244,561.345µm
_11741_,557.36µm
_14719_,556.37µm
net466,554.54µm
_19867_,551.39µm
_02016_,549.9µm
_13096_,549.68µm
net921,549.55µm
net86,549.46µm
_12677_,547.635µm
net98,542.5µm
net594,542.09µm
net854,540.7µm
net596,539.48µm
net611,538.92µm
net500,537.16µm
net609,536.68µm
net304,533.27µm
net238,531.84µm
net632,531.09µm
net270,530.37µm
net96,529.51µm
_11811_,529.36µm
net760,528.94µm
net410,525.78µm
net88,523.68µm
net637,523.225µm
net787,523.06µm
net261,522.58µm
net453,522.535µm
net179,522.34µm
net9,522.19µm
net464,520.96µm
_11100_,520.43µm
net591,519.855µm
_06714_,519.63µm
net263,515.57µm
_04362_,514.74µm
_13062_,514.38µm
_14259_,514.09µm
_01883_,513.655µm
_10574_,512.06µm
_09007_,511.65µm
net56,511.18µm
net392,511.115µm
_02005_,511.085µm
net291,510.83µm
net280,508.4µm
net345,507.72µm
net269,506.06µm
net243,505.39µm
_13183_,505.29µm
net95,504.66µm
net131,504.2µm
net265,502.48µm
net508,502.4µm
net603,500.21µm
_00499_,499.275µm
net778,498.495µm
_13386_,496.475µm
net456,494.96µm
_11775_,493.54µm
_05422_,493.4µm
net267,490.38µm
net615,490.06µm
net992,489.59µm
net292,489.39µm
_10742_,489.2µm
_13337_,488.68µm
net920,486.8µm
_11766_,486.72µm
net274,485.14µm
_12798_,484.46µm
net785,484.435µm
net47,484.27µm
net284,484.02µm
net264,483.02µm
net590,482.03µm
net653,481.625µm
net319,480.725µm
net467,480.64µm
_12644_,480.34µm
net123,480.13µm
_00783_,480.04µm
_07051_,479.68µm
_03015_,478.96µm
net870,478.62µm
net402,478.55µm
net662,478.2µm
net343,476.375µm
_17956_,476.25µm
_18666_,475.215µm
_10122_,474.84µm
net294,472.56µm
net659,472.3µm
net93,472.2µm
net278,471.7µm
_19227_,470.77µm
net867,470.18µm
_03593_,469.82µm
_11913_,469.61µm
_13238_,468.58µm
net652,468.56µm
_20555_,466.1µm
net235,466.07µm
net749,463.085µm
net391,462.11µm
net901,461.96µm
net141,461.51µm
_11645_,460.3µm
_11527_,459.77µm
net385,458.9µm
net293,457.66µm
net704,457.3µm
net793,456.78µm
net462,456.775µm
net387,456.575µm
net741,453.68µm
net272,453.43µm
_19578_,453.04µm
_03794_,452.37µm
_18626_,451.93µm
_16848_,450.99µm
net108,450.37µm
net582,449.34µm
_13205_,449.25µm
net864,449.17µm
net994,448.92µm
net815,447.81µm
_01115_,447.7µm
_09514_,447.635µm
_07480_,447.35µm
net262,447.02µm
net617,446.62µm
net259,446.58µm
net242,446.45µm
net118,446.35µm
net125,445.98µm
net91,445.89µm
net436,443.46µm
_03775_,443.36µm
net97,442.535µm
net124,441.95µm
net342,441.12µm
net746,440.95µm
net917,440.68µm
net492,440.1µm
_06047_,438.48µm
net94,438.255µm
net150,438.07µm
net92,438.04µm
net753,437.88µm
net612,437.24µm
net13,437.2µm
_07728_,437.17µm
_06140_,437.16µm
net764,436.335µm
net459,435.72µm
net602,434.58µm
net610,434.43µm
_07727_,434.12µm
net51,434.08µm
net271,433.78µm
_17281_,433.77µm
_13348_,433.2µm
net597,433.08µm
net450,431.755µm
_08598_,431.68µm
net914,430.9µm
net906,430.79µm
net631,429.915µm
_09882_,429.42µm
net911,429.33µm
_11094_,428.82µm
_12809_,427.81µm
net273,427.42µm
net991,427.075µm
_11962_,425.87µm
net856,424.74µm
net580,424.015µm
net761,423.755µm
net790,423.575µm
_12331_,422.84µm
net160,420.75µm
net986,420.235µm
_06831_,419.1µm
net967,418.48µm
net451,418.3µm
_11627_,416.96µm
net600,416.26µm
net33,416.07µm
_09052_,415.52µm
net126,414.59µm
net367,413.395µm
net855,413µm
_13018_,412.835µm
net862,412.2µm
_13237_,410.81µm
net607,410.44µm
net268,410.22µm
_15266_,410.08µm
net287,409.12µm
net159,407.12µm
_13381_,406.6µm
_11208_,406.46µm
net463,406.3µm
_07463_,406.29µm
_16618_,406.1µm
net982,405.52µm
_11000_,405.37µm
net175,405.14µm
_11023_,404.72µm
net35,404.45µm
net780,403.75µm
net260,402.9µm
_00235_,402.5µm
net614,402.095µm
net390,401.465µm
net36,401.15µm
net318,401.03µm
net83,400.52µm
net186,400.02µm
net1007,399.63µm
net162,398.01µm
_13721_,397.21µm
net444,396.92µm
net577,396.205µm
_12996_,396.175µm
net127,396.07µm
net706,395.84µm
net1009,395.82µm
net839,395.585µm
_12732_,395.2µm
_14556_,395.2µm
net295,394.68µm
net777,393.83µm
net721,392.64µm
net405,392.12µm
net775,390.57µm
net935,389µm
net49,388.94µm
net725,388.28µm
net154,387.9µm
net1041,387.86µm
net25,387.6µm
net736,386.94µm
net710,386.44µm
net933,386.44µm
net1024,385.97µm
_08874_,385.31µm
net128,384.33µm
net85,384.08µm
_11735_,383.98µm
_16366_,383.64µm
net645,383.585µm
_14545_,383.575µm
net497,383.51µm
net152,382.83µm
_10417_,382.47µm
_11779_,381.24µm
net283,380.63µm
net132,380.38µm
net424,380.26µm
net37,380.09µm
net236,379.06µm
net29,378.6µm
net446,378.52µm
_08039_,378.14µm
_13534_,377.42µm
net174,377µm
net491,376.77µm
_13139_,375.9µm
net770,374.96µm
_20246_,374.23µm
_04303_,374.22µm
_18051_,374.11µm
net836,374µm
net843,373.2µm
net38,372.71µm
_03931_,372.44µm
_11259_,372.3µm
net947,371.44µm
_01582_,371.305µm
net593,371.27µm
_10997_,371.2µm
_17697_,369.91µm
net84,369.28µm
net558,368.74µm
_11244_,367µm
net44,366.98µm
_01849_,365.52µm
net54,365.32µm
_14578_,365.25µm
_09998_,364.3µm
net198,364.3µm
_02434_,364.1µm
net430,363.835µm
_03322_,363.63µm
_10717_,363.48µm
net833,362.96µm
net151,362.66µm
net486,362.62µm
net589,362.195µm
_16337_,361.535µm
_12333_,360.685µm
_14683_,359.87µm
_13699_,359.8µm
_11451_,359.18µm
net482,358.56µm
_11206_,358.41µm
net376,358µm
_09831_,357.96µm
net129,357.28µm
net188,356.75µm
_01047_,356.23µm
net700,356.015µm
net289,355.96µm
net783,355.92µm
_10998_,355.79µm
net39,355.49µm
net878,355.475µm
net978,355.18µm
net447,354.51µm
_05573_,354.31µm
net592,353.96µm
net922,353.935µm
net799,353.86µm
_17049_,353.44µm
net41,353.34µm
_12817_,352.5µm
_20583_,352.08µm
net153,351.79µm
net784,351.48µm
net1033,351.26µm
net861,350.725µm
_17776_,350.08µm
_20110_,350.02µm
net925,350µm
_18578_,349.58µm
net473,349.565µm
net40,349.23µm
net130,348.78µm
net386,347.92µm
net926,347.3µm
net43,347.15µm
net364,346µm
net595,345.09µm
_18230_,344.88µm
_01103_,344.55µm
net383,344.535µm
net406,344.355µm
_11739_,344.08µm
net586,343.98µm
net608,343.375µm
_06642_,343.11µm
_09039_,343.105µm
_04293_,343.04µm
net846,343.04µm
_01914_,342.84µm
_11484_,342.44µm
net718,342.44µm
net210,342.22µm
net388,342.17µm
_11057_,341.82µm
_10066_,341.62µm
_19824_,341.31µm
net910,340.99µm
net835,340.44µm
_18357_,339.72µm
_12470_,339.54µm
_11845_,339.51µm
_16196_,338.49µm
net1042,336.83µm
net841,335.88µm
net331,335.07µm
_12192_,334.3µm
_11948_,334.1µm
_13472_,333.6µm
_02917_,333.17µm
_16792_,333.12µm
_01093_,333.01µm
net42,333µm
_17732_,332.95µm
net50,332.6µm
net299,332.6µm
_07062_,332.32µm
_10020_,332.01µm
net850,331.96µm
net441,331.77µm
_13249_,331.45µm
_13161_,331.38µm
_03050_,331.12µm
net237,330.935µm
_04066_,330.42µm
net676,330.35µm
_13989_,330.07µm
_18300_,329.46µm
net133,328.08µm
_17910_,328.05µm
net303,327.39µm
net445,327.09µm
net941,326.8µm
_03378_,326.175µm
net987,325.91µm
