Instance name, X location, Y location, Voltage
PHY_EDGE_ROW_285_Right_285, 793.14, 788.8, 1.65279e-05
FILLER_0_285_1700, 793.14, 788.8, 1.65279e-05
FILLER_0_285_1709, 793.14, 788.8, 1.65279e-05
PHY_EDGE_ROW_283_Right_283, 793.14, 783.36, 3.91737e-05
PHY_EDGE_ROW_284_Right_284, 793.14, 783.36, 3.91737e-05
FILLER_0_284_1701, 793.14, 783.36, 3.91737e-05
FILLER_0_284_1709, 793.14, 783.36, 3.91737e-05
PHY_EDGE_ROW_281_Right_281, 793.14, 777.92, 1.59431e-05
PHY_EDGE_ROW_282_Right_282, 793.14, 777.92, 1.59431e-05
FILLER_0_281_1703, 793.14, 777.92, 1.59431e-05
FILLER_0_282_1702, 793.14, 777.92, 1.59431e-05
FILLER_0_282_1709, 793.14, 777.92, 1.59431e-05
PHY_EDGE_ROW_279_Right_279, 793.14, 772.48, 1.79954e-05
PHY_EDGE_ROW_280_Right_280, 793.14, 772.48, 1.79954e-05
FILLER_0_280_1704, 793.14, 772.48, 1.79954e-05
FILLER_0_280_1709, 793.14, 772.48, 1.79954e-05
PHY_EDGE_ROW_277_Right_277, 793.14, 767.04, 2.20924e-05
PHY_EDGE_ROW_278_Right_278, 793.14, 767.04, 2.20924e-05
FILLER_0_277_1709, 793.14, 767.04, 2.20924e-05
FILLER_0_278_1699, 793.14, 767.04, 2.20924e-05
FILLER_0_278_1709, 793.14, 767.04, 2.20924e-05
PHY_EDGE_ROW_275_Right_275, 793.14, 761.6, 2.58752e-05
PHY_EDGE_ROW_276_Right_276, 793.14, 761.6, 2.58752e-05
FILLER_0_275_1705, 793.14, 761.6, 2.58752e-05
FILLER_0_276_1703, 793.14, 761.6, 2.58752e-05
FILLER_0_276_1709, 793.14, 761.6, 2.58752e-05
PHY_EDGE_ROW_273_Right_273, 793.14, 756.16, 2.93735e-05
PHY_EDGE_ROW_274_Right_274, 793.14, 756.16, 2.93735e-05
FILLER_0_273_1707, 793.14, 756.16, 2.93735e-05
FILLER_0_274_1705, 793.14, 756.16, 2.93735e-05
FILLER_0_274_1709, 793.14, 756.16, 2.93735e-05
PHY_EDGE_ROW_271_Right_271, 793.14, 750.72, 2.49947e-05
PHY_EDGE_ROW_272_Right_272, 793.14, 750.72, 2.49947e-05
FILLER_0_271_1709, 793.14, 750.72, 2.49947e-05
FILLER_0_272_1701, 793.14, 750.72, 2.49947e-05
FILLER_0_272_1709, 793.14, 750.72, 2.49947e-05
PHY_EDGE_ROW_269_Right_269, 793.14, 745.28, 2.43824e-05
PHY_EDGE_ROW_270_Right_270, 793.14, 745.28, 2.43824e-05
FILLER_0_269_1707, 793.14, 745.28, 2.43824e-05
FILLER_0_270_1702, 793.14, 745.28, 2.43824e-05
FILLER_0_270_1709, 793.14, 745.28, 2.43824e-05
PHY_EDGE_ROW_267_Right_267, 793.14, 739.84, 2.44923e-05
PHY_EDGE_ROW_268_Right_268, 793.14, 739.84, 2.44923e-05
FILLER_0_267_1709, 793.14, 739.84, 2.44923e-05
FILLER_0_268_1703, 793.14, 739.84, 2.44923e-05
FILLER_0_268_1709, 793.14, 739.84, 2.44923e-05
PHY_EDGE_ROW_265_Right_265, 793.14, 734.4, 2.31815e-05
PHY_EDGE_ROW_266_Right_266, 793.14, 734.4, 2.31815e-05
FILLER_0_266_1705, 793.14, 734.4, 2.31815e-05
FILLER_0_266_1709, 793.14, 734.4, 2.31815e-05
