Instance name, X location, Y location, Voltage
FILLER_0_284_1701, 789.84, 786.08, 1.79997
FILLER_0_285_1700, 789.84, 786.08, 1.79997
FILLER_0_285_1709, 789.84, 786.08, 1.79997
FILLER_0_282_1702, 789.84, 780.64, 1.79997
FILLER_0_284_1709, 789.84, 780.64, 1.79997
FILLER_0_280_1704, 789.84, 775.2, 1.79998
FILLER_0_281_1703, 789.84, 775.2, 1.79998
FILLER_0_282_1709, 789.84, 775.2, 1.79998
FILLER_0_278_1699, 789.84, 769.76, 1.79998
FILLER_0_280_1709, 789.84, 769.76, 1.79998
FILLER_0_276_1703, 789.84, 764.32, 1.79998
FILLER_0_277_1709, 789.84, 764.32, 1.79998
FILLER_0_278_1709, 789.84, 764.32, 1.79998
FILLER_0_274_1697, 789.84, 758.88, 1.79998
FILLER_0_274_1705, 789.84, 758.88, 1.79998
FILLER_0_275_1705, 789.84, 758.88, 1.79998
FILLER_0_276_1709, 789.84, 758.88, 1.79998
FILLER_0_272_1701, 789.84, 753.44, 1.79997
FILLER_0_273_1707, 789.84, 753.44, 1.79997
FILLER_0_274_1709, 789.84, 753.44, 1.79997
FILLER_0_270_1702, 789.84, 748, 1.79998
FILLER_0_271_1709, 789.84, 748, 1.79998
FILLER_0_272_1709, 789.84, 748, 1.79998
FILLER_0_268_1703, 789.84, 742.56, 1.79998
FILLER_0_269_1707, 789.84, 742.56, 1.79998
FILLER_0_270_1709, 789.84, 742.56, 1.79998
FILLER_0_266_1697, 789.84, 737.12, 1.79997
FILLER_0_266_1705, 789.84, 737.12, 1.79997
FILLER_0_267_1709, 789.84, 737.12, 1.79997
FILLER_0_268_1709, 789.84, 737.12, 1.79997
_38166_, 789.84, 731.68, 1.79998
FILLER_0_266_1709, 789.84, 731.68, 1.79998
FILLER_0_262_1701, 789.84, 726.24, 1.79997
FILLER_0_263_1705, 789.84, 726.24, 1.79997
FILLER_0_264_1709, 789.84, 726.24, 1.79997
_35949_, 789.84, 720.8, 1.79996
_35950_, 789.84, 720.8, 1.79996
_38167_, 789.84, 720.8, 1.79996
FILLER_0_261_1706, 789.84, 720.8, 1.79996
FILLER_0_262_1709, 789.84, 720.8, 1.79996
_38172_, 789.84, 715.36, 1.79997
FILLER_0_258_1704, 789.84, 715.36, 1.79997
FILLER_0_259_1705, 789.84, 715.36, 1.79997
FILLER_0_260_1709, 789.84, 715.36, 1.79997
_35951_, 789.84, 709.92, 1.79997
FILLER_0_257_1701, 789.84, 709.92, 1.79997
FILLER_0_257_1709, 789.84, 709.92, 1.79997
FILLER_0_258_1709, 789.84, 709.92, 1.79997
FILLER_0_254_1704, 789.84, 704.48, 1.79997
FILLER_0_255_1708, 789.84, 704.48, 1.79997
FILLER_0_256_1709, 789.84, 704.48, 1.79997
_38173_, 789.84, 699.04, 1.79995
_38174_, 789.84, 699.04, 1.79995
FILLER_0_252_1697, 789.84, 699.04, 1.79995
FILLER_0_252_1705, 789.84, 699.04, 1.79995
FILLER_0_253_1705, 789.84, 699.04, 1.79995
FILLER_0_254_1709, 789.84, 699.04, 1.79995
FILLER_0_251_1706, 789.84, 693.6, 1.79995
FILLER_0_252_1709, 789.84, 693.6, 1.79995
FILLER_0_248_1698, 789.84, 688.16, 1.79995
FILLER_0_250_1709, 789.84, 688.16, 1.79995
_40202_, 789.84, 682.72, 1.79994
_40246_, 789.84, 682.72, 1.79994
FILLER_0_246_1700, 789.84, 682.72, 1.79994
FILLER_0_247_1701, 789.84, 682.72, 1.79994
FILLER_0_247_1709, 789.84, 682.72, 1.79994
FILLER_0_248_1709, 789.84, 682.72, 1.79994
FILLER_0_244_1699, 789.84, 677.28, 1.79996
FILLER_0_245_1705, 789.84, 677.28, 1.79996
FILLER_0_246_1709, 789.84, 677.28, 1.79996
_40244_, 789.84, 671.84, 1.79996
FILLER_0_242_1701, 789.84, 671.84, 1.79996
FILLER_0_243_1705, 789.84, 671.84, 1.79996
FILLER_0_244_1709, 789.84, 671.84, 1.79996
_38206_, 789.84, 666.4, 1.79997
_38207_, 789.84, 666.4, 1.79997
_38208_, 789.84, 666.4, 1.79997
FILLER_0_240_1694, 789.84, 666.4, 1.79997
FILLER_0_240_1704, 789.84, 666.4, 1.79997
FILLER_0_241_1693, 789.84, 666.4, 1.79997
FILLER_0_241_1707, 789.84, 666.4, 1.79997
FILLER_0_242_1709, 789.84, 666.4, 1.79997
_38210_, 789.84, 660.96, 1.79996
FILLER_0_238_1701, 789.84, 660.96, 1.79996
FILLER_0_239_1702, 789.84, 660.96, 1.79996
FILLER_0_240_1709, 789.84, 660.96, 1.79996
