Instance name, X location, Y location, Voltage
input2, 178.74, 272, 2.43433e-06
FILLER_0_97_377, 178.74, 272, 2.43433e-06
FILLER_0_97_388, 178.74, 272, 2.43433e-06
FILLER_0_95_385, 178.74, 266.56, 1.43329e-10
FILLER_0_93_385, 178.74, 261.12, 1.64606e-10
FILLER_0_91_385, 178.74, 255.68, 1.7736e-10
FILLER_0_89_385, 178.74, 250.24, 1.81609e-10
FILLER_0_87_385, 178.74, 244.8, 1.7736e-10
FILLER_0_85_385, 178.74, 239.36, 1.64606e-10
FILLER_0_83_385, 178.74, 233.92, 1.43329e-10
FILLER_0_81_385, 178.74, 228.48, 1.68819e-10
FILLER_0_79_385, 178.74, 223.04, 1.85791e-10
FILLER_0_77_385, 178.74, 217.6, 1.94272e-10
FILLER_0_75_385, 178.74, 212.16, 1.94272e-10
FILLER_0_73_385, 178.74, 206.72, 1.85791e-10
FILLER_0_71_385, 178.74, 201.28, 1.68819e-10
FILLER_0_69_385, 178.74, 195.84, 1.43329e-10
FILLER_0_67_385, 178.74, 190.4, 1.58738e-10
FILLER_0_65_385, 178.74, 184.96, 1.65615e-10
FILLER_0_63_385, 178.74, 179.52, 1.71605e-10
FILLER_0_61_385, 178.74, 174.08, 1.70699e-10
FILLER_0_59_385, 178.74, 168.64, 1.61278e-10
FILLER_0_57_385, 178.74, 163.2, 1.43329e-10
FILLER_0_55_385, 178.74, 157.76, 2.25896e-06
FILLER_0_53_385, 178.74, 152.32, 5.07224e-06
_426_, 178.74, 146.88, 3.80168e-05
hold194, 178.74, 146.88, 3.80168e-05
FILLER_0_49_370, 178.74, 146.88, 3.80168e-05
FILLER_0_50_389, 178.74, 146.88, 3.80168e-05
FILLER_0_51_385, 178.74, 146.88, 3.80168e-05
_637_, 178.74, 141.44, 5.13769e-05
clkbuf_leaf_9_clk, 178.74, 141.44, 5.13769e-05
FILLER_0_48_377, 178.74, 141.44, 5.13769e-05
FILLER_0_49_383, 178.74, 141.44, 5.13769e-05
_434_, 178.74, 136, 4.47806e-05
_629_, 178.74, 136, 4.47806e-05
hold197, 178.74, 136, 4.47806e-05
FILLER_0_45_369, 178.74, 136, 4.47806e-05
FILLER_0_46_385, 178.74, 136, 4.47806e-05
FILLER_0_47_381, 178.74, 136, 4.47806e-05
FILLER_0_47_389, 178.74, 136, 4.47806e-05
hold187, 178.74, 130.56, 5.11251e-05
FILLER_0_44_389, 178.74, 130.56, 5.11251e-05
FILLER_0_45_387, 178.74, 130.56, 5.11251e-05
_435_, 178.74, 125.12, 3.79582e-05
_630_, 178.74, 125.12, 3.79582e-05
FILLER_0_42_390, 178.74, 125.12, 3.79582e-05
FILLER_0_43_383, 178.74, 125.12, 3.79582e-05
hold179, 178.74, 119.68, 1.99941e-05
FILLER_0_40_365, 178.74, 119.68, 1.99941e-05
FILLER_0_40_389, 178.74, 119.68, 1.99941e-05
FILLER_0_41_381, 178.74, 119.68, 1.99941e-05
FILLER_0_41_389, 178.74, 119.68, 1.99941e-05
_636_, 178.74, 114.24, 3.45039e-05
hold176, 178.74, 114.24, 3.45039e-05
FILLER_0_38_365, 178.74, 114.24, 3.45039e-05
_438_, 178.74, 108.8, 6.90247e-05
_633_, 178.74, 108.8, 6.90247e-05
FILLER_0_36_365, 178.74, 108.8, 6.90247e-05
FILLER_0_37_385, 178.74, 108.8, 6.90247e-05
FILLER_0_35_385, 178.74, 103.36, 4.49914e-05
_433_, 178.74, 97.92, 3.59755e-05
_628_, 178.74, 97.92, 3.59755e-05
hold180, 178.74, 97.92, 3.59755e-05
FILLER_0_32_385, 178.74, 97.92, 3.59755e-05
FILLER_0_33_389, 178.74, 97.92, 3.59755e-05
_635_, 178.74, 92.48, 6.57735e-05
hold202, 178.74, 92.48, 6.57735e-05
FILLER_0_29_369, 178.74, 92.48, 6.57735e-05
FILLER_0_30_365, 178.74, 92.48, 6.57735e-05
FILLER_0_31_385, 178.74, 92.48, 6.57735e-05
_634_, 178.74, 81.6, 0.000109671
hold113, 178.74, 81.6, 0.000109671
FILLER_0_27_381, 178.74, 81.6, 0.000109671
FILLER_0_27_389, 178.74, 81.6, 0.000109671
_436_, 178.74, 76.16, 0.000115471
_439_, 178.74, 76.16, 0.000115471
_631_, 178.74, 76.16, 0.000115471
clkbuf_leaf_12_clk, 178.74, 76.16, 0.000115471
FILLER_0_24_365, 178.74, 76.16, 0.000115471
FILLER_0_24_388, 178.74, 76.16, 0.000115471
FILLER_0_22_389, 178.74, 70.72, 5.59668e-05
FILLER_0_23_388, 178.74, 70.72, 5.59668e-05
_632_, 178.74, 65.28, 4.944e-05
hold44, 178.74, 65.28, 4.944e-05
FILLER_0_21_381, 178.74, 65.28, 4.944e-05
FILLER_0_21_389, 178.74, 65.28, 4.944e-05
_437_, 178.74, 59.84, 9.17915e-05
FILLER_0_18_377, 178.74, 59.84, 9.17915e-05
_432_, 178.74, 54.4, 3.40382e-05
hold40, 178.74, 54.4, 3.40382e-05
FILLER_0_17_381, 178.74, 54.4, 3.40382e-05
_429_, 178.74, 48.96, 4.21723e-05
fanout275, 178.74, 48.96, 4.21723e-05
FILLER_0_13_376, 178.74, 48.96, 4.21723e-05
FILLER_0_15_385, 178.74, 48.96, 4.21723e-05
hold51, 178.74, 43.52, 3.25456e-05
FILLER_0_12_389, 178.74, 43.52, 3.25456e-05
_430_, 178.74, 38.08, 5.0694e-05
_641_, 178.74, 38.08, 5.0694e-05
hold38, 178.74, 38.08, 5.0694e-05
FILLER_0_11_385, 178.74, 38.08, 5.0694e-05
FILLER_0_8_389, 178.74, 32.64, 5.0534e-05
FILLER_0_9_386, 178.74, 32.64, 5.0534e-05
hold3, 178.74, 27.2, 4.70835e-05
_431_, 178.74, 21.76, 9.24275e-05
FILLER_0_5_385, 178.74, 21.76, 9.24275e-05
_427_, 178.74, 16.32, 0.000131046
_638_, 178.74, 16.32, 0.000131046
output78, 178.74, 16.32, 0.000131046
output80, 178.74, 16.32, 0.000131046
output83, 178.74, 16.32, 0.000131046
hold12, 178.74, 16.32, 0.000131046
FILLER_0_3_389, 178.74, 16.32, 0.000131046
output70, 178.74, 10.88, 0.00011181
output72, 178.74, 10.88, 0.00011181
output75, 178.74, 10.88, 0.00011181
output77, 178.74, 10.88, 0.00011181
output79, 178.74, 10.88, 0.00011181
output81, 178.74, 10.88, 0.00011181
output82, 178.74, 10.88, 0.00011181
output85, 178.74, 10.88, 0.00011181
output87, 178.74, 10.88, 0.00011181
FILLER_0_0_389, 178.74, 10.88, 0.00011181
FILLER_0_97_41, 25.14, 277.44, 2.73953e-06
input8, 25.14, 272, 1.11004e-06
FILLER_0_95_51, 25.14, 266.56, 7.61198e-11
FILLER_0_93_51, 25.14, 261.12, 8.84973e-11
FILLER_0_91_51, 25.14, 255.68, 9.59363e-11
FILLER_0_89_51, 25.14, 250.24, 9.84181e-11
FILLER_0_87_51, 25.14, 244.8, 9.59363e-11
FILLER_0_85_51, 25.14, 239.36, 8.84973e-11
FILLER_0_83_51, 25.14, 233.92, 7.61198e-11
FILLER_0_81_51, 25.14, 228.48, 9.10152e-11
FILLER_0_79_51, 25.14, 223.04, 1.00966e-10
FILLER_0_77_51, 25.14, 217.6, 1.05948e-10
FILLER_0_75_51, 25.14, 212.16, 1.05948e-10
FILLER_0_73_51, 25.14, 206.72, 1.00966e-10
FILLER_0_71_51, 25.14, 201.28, 9.10152e-11
FILLER_0_69_51, 25.14, 195.84, 7.61198e-11
FILLER_0_67_51, 25.14, 190.4, 8.50466e-11
FILLER_0_65_51, 25.14, 184.96, 8.90435e-11
FILLER_0_63_51, 25.14, 179.52, 9.25288e-11
FILLER_0_61_51, 25.14, 174.08, 9.20021e-11
FILLER_0_59_51, 25.14, 168.64, 8.65278e-11
FILLER_0_57_51, 25.14, 163.2, 7.61198e-11
FILLER_0_55_51, 25.14, 157.76, 1.8187e-06
FILLER_0_53_51, 25.14, 152.32, 5.30706e-06
_708_, 25.14, 146.88, 3.01495e-05
_711_, 25.14, 146.88, 3.01495e-05
FILLER_0_49_42, 25.14, 146.88, 3.01495e-05
FILLER_0_51_51, 25.14, 146.88, 3.01495e-05
_273_, 25.14, 141.44, 2.87162e-05
FILLER_0_49_50, 25.14, 141.44, 2.87162e-05
FILLER_0_47_51, 25.14, 136, 5.08882e-05
_707_, 25.14, 130.56, 2.2183e-05
FILLER_0_43_39, 25.14, 130.56, 2.2183e-05
FILLER_0_45_51, 25.14, 130.56, 2.2183e-05
_272_, 25.14, 125.12, 2.51467e-05
FILLER_0_43_51, 25.14, 125.12, 2.51467e-05
_703_, 25.14, 119.68, 1.50512e-05
FILLER_0_41_51, 25.14, 119.68, 1.50512e-05
_704_, 25.14, 114.24, 2.94994e-05
FILLER_0_39_51, 25.14, 114.24, 2.94994e-05
_269_, 25.14, 108.8, 2.68773e-05
