Instance name, X location, Y location, Voltage
FILLER_0_96_357, 175.44, 274.72, 1.79999
FILLER_0_97_377, 175.44, 274.72, 1.79999
FILLER_0_94_357, 175.44, 269.28, 1.8
FILLER_0_92_357, 175.44, 263.84, 1.8
FILLER_0_90_357, 175.44, 258.4, 1.8
FILLER_0_88_357, 175.44, 252.96, 1.8
FILLER_0_86_357, 175.44, 247.52, 1.8
FILLER_0_84_357, 175.44, 242.08, 1.8
FILLER_0_82_357, 175.44, 236.64, 1.8
FILLER_0_80_357, 175.44, 231.2, 1.8
FILLER_0_78_357, 175.44, 225.76, 1.8
FILLER_0_76_357, 175.44, 220.32, 1.8
FILLER_0_74_357, 175.44, 214.88, 1.8
FILLER_0_72_357, 175.44, 209.44, 1.8
FILLER_0_70_357, 175.44, 204, 1.8
FILLER_0_68_357, 175.44, 198.56, 1.8
FILLER_0_66_357, 175.44, 193.12, 1.8
FILLER_0_64_357, 175.44, 187.68, 1.8
FILLER_0_62_357, 175.44, 182.24, 1.8
FILLER_0_60_357, 175.44, 176.8, 1.8
FILLER_0_58_357, 175.44, 171.36, 1.8
FILLER_0_56_357, 175.44, 165.92, 1.8
FILLER_0_54_357, 175.44, 160.48, 1.8
FILLER_0_52_357, 175.44, 155.04, 1.79999
FILLER_0_50_361, 175.44, 149.6, 1.79998
_426_, 175.44, 144.16, 1.79997
hold194, 175.44, 144.16, 1.79997
FILLER_0_48_357, 175.44, 144.16, 1.79997
FILLER_0_49_370, 175.44, 144.16, 1.79997
_629_, 175.44, 138.72, 1.79993
_637_, 175.44, 138.72, 1.79993
clkbuf_leaf_9_clk, 175.44, 138.72, 1.79993
hold193, 175.44, 138.72, 1.79993
FILLER_0_47_357, 175.44, 138.72, 1.79993
FILLER_0_47_381, 175.44, 138.72, 1.79993
FILLER_0_48_377, 175.44, 138.72, 1.79993
_434_, 175.44, 133.28, 1.79995
FILLER_0_44_357, 175.44, 133.28, 1.79995
FILLER_0_45_361, 175.44, 133.28, 1.79995
FILLER_0_45_369, 175.44, 133.28, 1.79995
_630_, 175.44, 127.84, 1.79996
hold187, 175.44, 127.84, 1.79996
FILLER_0_42_358, 175.44, 127.84, 1.79996
FILLER_0_43_357, 175.44, 127.84, 1.79996
hold179, 175.44, 122.4, 1.79997
FILLER_0_40_361, 175.44, 122.4, 1.79997
FILLER_0_40_365, 175.44, 122.4, 1.79997
FILLER_0_41_381, 175.44, 122.4, 1.79997
FILLER_0_38_357, 175.44, 116.96, 1.79998
FILLER_0_38_365, 175.44, 116.96, 1.79998
_636_, 175.44, 111.52, 1.79997
hold176, 175.44, 111.52, 1.79997
FILLER_0_36_356, 175.44, 111.52, 1.79997
FILLER_0_36_365, 175.44, 111.52, 1.79997
FILLER_0_37_357, 175.44, 111.52, 1.79997
_633_, 175.44, 106.08, 1.79992
FILLER_0_34_357, 175.44, 106.08, 1.79992
_628_, 175.44, 100.64, 1.79996
hold153, 175.44, 100.64, 1.79996
FILLER_0_32_358, 175.44, 100.64, 1.79996
_424_, 175.44, 95.2, 1.79996
_433_, 175.44, 95.2, 1.79996
hold202, 175.44, 95.2, 1.79996
FILLER_0_30_365, 175.44, 95.2, 1.79996
_635_, 175.44, 89.76, 1.79993
FILLER_0_28_357, 175.44, 89.76, 1.79993
FILLER_0_29_361, 175.44, 89.76, 1.79993
FILLER_0_29_369, 175.44, 89.76, 1.79993
_423_, 175.44, 84.32, 1.79993
hold113, 175.44, 84.32, 1.79993
FILLER_0_26_361, 175.44, 84.32, 1.79993
FILLER_0_27_381, 175.44, 84.32, 1.79993
_634_, 175.44, 78.88, 1.79988
hold115, 175.44, 78.88, 1.79988
FILLER_0_24_357, 175.44, 78.88, 1.79988
FILLER_0_24_365, 175.44, 78.88, 1.79988
_436_, 175.44, 73.44, 1.79993
_631_, 175.44, 73.44, 1.79993
clkbuf_leaf_12_clk, 175.44, 73.44, 1.79993
FILLER_0_22_357, 175.44, 73.44, 1.79993
FILLER_0_23_361, 175.44, 73.44, 1.79993
hold44, 175.44, 68, 1.79995
FILLER_0_20_358, 175.44, 68, 1.79995
FILLER_0_21_381, 175.44, 68, 1.79995
_632_, 175.44, 62.56, 1.79994
FILLER_0_18_357, 175.44, 62.56, 1.79994
FILLER_0_19_361, 175.44, 62.56, 1.79994
_432_, 175.44, 57.12, 1.79993
_437_, 175.44, 57.12, 1.79993
_627_, 175.44, 57.12, 1.79993
FILLER_0_16_357, 175.44, 57.12, 1.79993
FILLER_0_17_381, 175.44, 57.12, 1.79993
FILLER_0_18_377, 175.44, 57.12, 1.79993
fanout275, 175.44, 51.68, 1.79997
_429_, 175.44, 46.24, 1.79995
FILLER_0_12_357, 175.44, 46.24, 1.79995
FILLER_0_13_376, 175.44, 46.24, 1.79995
_430_, 175.44, 40.8, 1.79996
FILLER_0_10_356, 175.44, 40.8, 1.79996
_428_, 175.44, 35.36, 1.79996
hold38, 175.44, 35.36, 1.79996
_427_, 175.44, 19.04, 1.79991
_431_, 175.44, 19.04, 1.79991
output74, 175.44, 19.04, 1.79991
output76, 175.44, 19.04, 1.79991
_638_, 175.44, 13.6, 1.79983
output69, 175.44, 13.6, 1.79983
output70, 175.44, 13.6, 1.79983
output72, 175.44, 13.6, 1.79983
output75, 175.44, 13.6, 1.79983
output77, 175.44, 13.6, 1.79983
output78, 175.44, 13.6, 1.79983
output79, 175.44, 13.6, 1.79983
output80, 175.44, 13.6, 1.79983
output82, 175.44, 13.6, 1.79983
output83, 175.44, 13.6, 1.79983
output85, 175.44, 13.6, 1.79983
hold12, 175.44, 13.6, 1.79983
FILLER_0_0_361, 175.44, 13.6, 1.79983
FILLER_0_97_41, 21.84, 274.72, 1.8
_708_, 21.84, 149.6, 1.79998
FILLER_0_50_29, 21.84, 149.6, 1.79998
FILLER_0_49_42, 21.84, 144.16, 1.79998
FILLER_0_44_29, 21.84, 133.28, 1.79996
_272_, 21.84, 127.84, 1.79998
_707_, 21.84, 127.84, 1.79998
FILLER_0_43_39, 21.84, 127.84, 1.79998
FILLER_0_40_29, 21.84, 122.4, 1.79998
_703_, 21.84, 116.96, 1.79998
_704_, 21.84, 111.52, 1.79997
FILLER_0_37_27, 21.84, 111.52, 1.79997
FILLER_0_36_41, 21.84, 106.08, 1.79995
FILLER_0_36_49, 21.84, 106.08, 1.79995
_705_, 21.84, 95.2, 1.79997
hold216, 21.84, 95.2, 1.79997
FILLER_0_31_27, 21.84, 95.2, 1.79997
FILLER_0_31_35, 21.84, 95.2, 1.79997
FILLER_0_31_46, 21.84, 95.2, 1.79997
FILLER_0_32_41, 21.84, 95.2, 1.79997
FILLER_0_27_45, 21.84, 84.32, 1.79994
fanout261, 21.84, 73.44, 1.79998
fanout260, 21.84, 68, 1.79995
hold65, 21.84, 68, 1.79995
FILLER_0_21_40, 21.84, 68, 1.79995
_483_, 21.84, 57.12, 1.79996
FILLER_0_17_27, 21.84, 57.12, 1.79996
_288_, 21.84, 51.68, 1.79998
FILLER_0_16_41, 21.84, 51.68, 1.79998
FILLER_0_16_47, 21.84, 51.68, 1.79998
_499_, 21.84, 46.24, 1.79997
hold82, 21.84, 46.24, 1.79997
FILLER_0_14_41, 21.84, 46.24, 1.79997
fanout259, 21.84, 40.8, 1.79997
hold92, 21.84, 40.8, 1.79997
FILLER_0_10_29, 21.84, 40.8, 1.79997
FILLER_0_11_46, 21.84, 40.8, 1.79997
FILLER_0_12_43, 21.84, 40.8, 1.79997
_511_, 21.84, 35.36, 1.79997
FILLER_0_8_29, 21.84, 35.36, 1.79997
FILLER_0_9_49, 21.84, 35.36, 1.79997
_316_, 21.84, 29.92, 1.79995
clkbuf_leaf_21_clk, 21.84, 29.92, 1.79995
_283_, 21.84, 24.48, 1.79996
_299_, 21.84, 19.04, 1.79994
_480_, 21.84, 19.04, 1.79994
_510_, 21.84, 19.04, 1.79994
hold55, 21.84, 19.04, 1.79994
FILLER_0_3_27, 21.84, 19.04, 1.79994
output18, 21.84, 13.6, 1.79991
output62, 21.84, 13.6, 1.79991
output180, 21.84, 13.6, 1.79991
output213, 21.84, 13.6, 1.79991
output235, 21.84, 13.6, 1.79991
output257, 21.84, 13.6, 1.79991
FILLER_0_0_29, 21.84, 13.6, 1.79991
FILLER_0_1_39, 21.84, 13.6, 1.79991
PHY_EDGE_ROW_96_Left_194, 5.52, 274.72, 1.8
PHY_EDGE_ROW_97_Left_195, 5.52, 274.72, 1.8
FILLER_0_97_3, 5.52, 274.72, 1.8
PHY_EDGE_ROW_96_Right_96, 273.7, 274.72, 1.79998
PHY_EDGE_ROW_97_Right_97, 273.7, 274.72, 1.79998
FILLER_0_96_577, 273.7, 274.72, 1.79998
input1, 13.68, 274.72, 1.8
FILLER_0_97_11, 13.68, 274.72, 1.8
FILLER_0_97_18, 13.68, 274.72, 1.8
input8, 34.64, 274.72, 1.79999
input9, 47.44, 274.72, 1.79999
FILLER_0_97_81, 47.44, 274.72, 1.79999
FILLER_0_97_85, 47.44, 274.72, 1.79999
input10, 60.24, 274.72, 1.79999
FILLER_0_97_129, 60.24, 274.72, 1.79999
FILLER_0_96_133, 73.04, 274.72, 1.79999
FILLER_0_97_137, 73.04, 274.72, 1.79999
FILLER_0_97_153, 73.04, 274.72, 1.79999
input11, 85.84, 274.72, 1.79999
FILLER_0_97_165, 85.84, 274.72, 1.79999
input12, 98.64, 274.72, 1.79998
FILLER_0_96_189, 98.64, 274.72, 1.79998
FILLER_0_97_193, 98.64, 274.72, 1.79998
FILLER_0_97_215, 98.64, 274.72, 1.79998
input13, 111.44, 274.72, 1.79998
FILLER_0_97_225, 111.44, 274.72, 1.79998
FILLER_0_97_233, 111.44, 274.72, 1.79998
FILLER_0_96_245, 124.24, 274.72, 1.79999
FILLER_0_97_265, 124.24, 274.72, 1.79999
input14, 137.04, 274.72, 1.79999
FILLER_0_97_277, 137.04, 274.72, 1.79999
input15, 149.84, 274.72, 1.79999
FILLER_0_96_301, 149.84, 274.72, 1.79999
FILLER_0_97_305, 149.84, 274.72, 1.79999
FILLER_0_97_326, 149.84, 274.72, 1.79999
input16, 162.64, 274.72, 1.79999
FILLER_0_97_337, 162.64, 274.72, 1.79999
input2, 187.722, 274.72, 1.79999
FILLER_0_97_388, 187.722, 274.72, 1.79999
input3, 200.005, 274.72, 1.79999
FILLER_0_96_413, 200.005, 274.72, 1.79999
FILLER_0_97_417, 200.005, 274.72, 1.79999
input4, 212.287, 274.72, 1.79998
FILLER_0_97_449, 212.287, 274.72, 1.79998
FILLER_0_96_469, 224.57, 274.72, 1.79998
FILLER_0_97_473, 224.57, 274.72, 1.79998
FILLER_0_97_489, 224.57, 274.72, 1.79998
input5, 236.852, 274.72, 1.79998
FILLER_0_97_498, 236.852, 274.72, 1.79998
input6, 249.135, 274.72, 1.79998
FILLER_0_96_525, 249.135, 274.72, 1.79998
FILLER_0_97_529, 249.135, 274.72, 1.79998
input7, 261.417, 274.72, 1.79998
FILLER_0_97_555, 261.417, 274.72, 1.79998
FILLER_0_97_561, 261.417, 274.72, 1.79998
PHY_EDGE_ROW_94_Left_192, 5.52, 269.28, 1.8
PHY_EDGE_ROW_95_Left_193, 5.52, 269.28, 1.8
PHY_EDGE_ROW_94_Right_94, 273.7, 269.28, 1.8
PHY_EDGE_ROW_95_Right_95, 273.7, 269.28, 1.8
FILLER_0_94_577, 273.7, 269.28, 1.8
FILLER_0_95_573, 273.7, 269.28, 1.8
FILLER_0_95_51, 34.64, 269.28, 1.8
