net,length_um
net9,778.34µm
net295,768.56µm
net297,768.06µm
net296,767.76µm
net298,767.36µm
net294,762.11µm
net260,761.18µm
net263,760.28µm
net259,758.72µm
net262,758.16µm
net8,757.26µm
net11,756.995µm
net1,755.94µm
net258,755.77µm
net261,755.18µm
net10,738.24µm
clk,729.57µm
net293,691.86µm
net7,515.54µm
net6,499.64µm
clknet_1_0__leaf_clk,476.4µm
net5,445.1µm
clknet_leaf_0_clk,426.54µm
clknet_1_1__leaf_clk,422.88µm
net4,385.74µm
clknet_leaf_4_clk,368.28µm
net3,366.5µm
net17,351.78µm
net2,345.52µm
clknet_leaf_6_clk,316.76µm
clknet_leaf_5_clk,315.695µm
clknet_leaf_12_clk,314.34µm
clknet_leaf_8_clk,311.22µm
clknet_0_clk,308.92µm
clknet_leaf_9_clk,302.06µm
clknet_leaf_1_clk,291.9µm
net16,282.9µm
clknet_leaf_7_clk,270.26µm
clknet_leaf_11_clk,268.325µm
clknet_leaf_2_clk,261.45µm
net267,229.91µm
net202,225.18µm
clknet_leaf_10_clk,211.98µm
net246,208.66µm
net84,207µm
net51,206.98µm
net191,195.08µm
net15,187.78µm
net62,185.86µm
net235,185.76µm
net13,181.86µm
net73,178.06µm
net213,170.56µm
net40,169.96µm
net287,161.88µm
net14,158.4µm
net257,155.7µm
net276,153µm
net264,150.68µm
net266,149.5µm
net288,148.37µm
net268,148.235µm
net290,144.455µm
net272,142.32µm
net265,141.18µm
net29,141.1µm
net275,139.66µm
net280,136.34µm
net289,135.08µm
net273,134.02µm
net285,133.33µm
net274,129.14µm
net278,126.14µm
net281,125.655µm
clknet_leaf_13_clk,123.42µm
net224,120.54µm
net279,120.26µm
net180,115.62µm
net269,114.74µm
net286,112.64µm
net292,112.26µm
net284,108.64µm
net182,103.9µm
net271,103.3µm
net291,96.24µm
net179,96.02µm
net283,94.18µm
net19,91.88µm
net12,91.24µm
net54,90.04µm
net217,89.84µm
net119,89µm
net227,88.74µm
net244,88.52µm
net64,88µm
net71,87.88µm
net58,87.16µm
net46,87.08µm
net110,86.12µm
net28,86.02µm
net232,85.9µm
net23,85.87µm
net36,85.78µm
net174,85.34µm
net250,85.32µm
net99,84.9µm
net270,84.48µm
net81,84.22µm
net181,84.12µm
net66,84µm
net240,83.78µm
net129,83.48µm
net215,83.08µm
net83,82.77µm
net146,82.7µm
net178,82.62µm
net93,82.06µm
net135,81.96µm
net76,81.94µm
net197,81.76µm
net101,81.48µm
net41,81.26µm
net48,81.26µm
net127,81.26µm
net222,81.08µm
net89,80.62µm
net130,80.22µm
net192,80.16µm
net234,79.66µm
net31,79.64µm
net111,79.42µm
net252,79.42µm
net199,78.66µm
net92,78.42µm
net209,78.28µm
net75,77.86µm
net116,77.28µm
net137,77.22µm
net230,76.52µm
net147,75.84µm
net107,75.38µm
net57,73.34µm
net513,73.16µm
net153,73.08µm
net277,72.96µm
net212,72.64µm
net205,72.34µm
net248,72.3µm
net446,71.36µm
net155,70.54µm
net52,69.12µm
net198,68.9µm
net134,68.86µm
net152,68.64µm
net177,68.4µm
net39,67.86µm
net187,67.82µm
net124,67.78µm
net26,67.66µm
net115,67.48µm
net22,66.98µm
net123,66.58µm
net150,65.98µm
net173,65.72µm
net80,65.02µm
net195,64.94µm
net140,64.36µm
net70,64.24µm
net35,63.82µm
net143,63.62µm
net231,63.6µm
net243,63.44µm
net196,63.38µm
net249,63.24µm
net203,63.14µm
net98,62.9µm
net183,62.52µm
net27,62.5µm
net142,62.46µm
net255,62.46µm
net79,61.76µm
net226,61.76µm
net44,61.1µm
net238,61.08µm
net216,61.04µm
net69,60.9µm
net34,60.84µm
net114,60.66µm
net53,60.42µm
net282,60.3µm
net88,60.26µm
net45,60.16µm
net133,59.74µm
net63,59.58µm
net18,59.5µm
net190,59.16µm
net105,58.82µm
net214,58.82µm
net239,58.75µm
net91,58.36µm
net184,58.36µm
net256,58.36µm
net74,58.24µm
net208,57.9µm
net109,57.58µm
net136,57.48µm
net233,57.24µm
net220,56.98µm
net164,56.9µm
net186,56.9µm
net97,56.655µm
net56,56.56µm
net61,56.32µm
net87,56.14µm
net154,55.42µm
net104,54.88µm
net126,54.64µm
net299,53.74µm
net185,53.58µm
net221,52.92µm
net251,52.58µm
net151,52.16µm
net176,51.2µm
net118,50.88µm
net312,50.16µm
net159,49.82µm
net145,49.56µm
net38,49.28µm
net165,49.16µm
net175,49.06µm
clknet_leaf_3_clk,47.92µm
net200,46.66µm
net204,46.6µm
net170,46.56µm
net122,45.88µm
net100,45.68µm
net317,45.54µm
net21,45.44µm
net141,44.9µm
net188,44.88µm
net30,44.04µm
net128,44.04µm
net194,43.88µm
net319,43.58µm
net211,43.52µm
net242,43.38µm
net42,42.14µm
net65,41.84µm
net47,41.5µm
net503,40.84µm
net149,40.54µm
net162,39.9µm
net68,39.54µm
net201,39.2µm
net106,39.04µm
net148,38.96µm
net55,38.86µm
net504,38.86µm
net225,38.62µm
net322,38.6µm
net33,38.22µm
net82,37.94µm
net160,37.94µm
net113,37.62µm
net96,37.52µm
net407,37.22µm
net50,36.82µm
net189,36.64µm
net156,36.54µm
net429,36.445µm
net206,36.32µm
net229,36.24µm
net138,35.86µm
net132,35.68µm
net207,35.68µm
net95,35.52µm
net120,35.52µm
net112,35.3µm
net193,35.3µm
net108,35.24µm
net72,34.995µm
net90,34.76µm
net139,34.68µm
net59,34.6µm
net25,34.56µm
net32,34.16µm
net37,34.12µm
net314,33.92µm
net94,33.7µm
net102,33.68µm
net228,33.32µm
net43,33.22µm
net121,33.22µm
net313,33.12µm
net247,33.06µm
net169,33µm
net86,32.84µm
net20,32.78µm
net49,32.78µm
net67,32.78µm
net77,32.78µm
net442,32.78µm
net85,32.3µm
net236,31.96µm
net218,31.66µm
net144,31.54µm
net78,31.48µm
net117,31.46µm
net131,31.4µm
net210,31.38µm
net254,30.82µm
net24,30.76µm
net219,30.74µm
net401,30.74µm
net60,30.46µm
net507,30.44µm
net506,29.74µm
net125,29.12µm
net157,28.98µm
net408,28.98µm
net522,28.74µm
net103,28.64µm
net441,28.64µm
net253,28.54µm
net163,28.24µm
net377,28.2µm
net241,28.1µm
net406,28.02µm
net237,27.76µm
net439,27.5µm
net223,27.3µm
net245,27.28µm
net511,27.14µm
net481,27.06µm
